D1|D2
2275|4621
4289|3342
2920|2295
4729|3699
4768|459
1467|12
4869|4362
4757|1371
158|2168
1977|2744
2365|7404
4682|1466
3495|5778
27|2808
649|6479
2168|5331
2803|3830
4061|3865
2575|2271
5068|2197
654|4025
340|5516
5048|1818
3408|2782
2983|7339
4928|1547
2541|1015
2866|661
1932|367
4069|3222
5040|4550
4002|593
2131|6383
1735|339
1850|1033
4270|871
1657|4763
843|2697
4487|1306
1655|4939
2479|2081
1504|3140
3435|2612
5|6725
1730|6913
2214|7700
651|4312
1884|279
3725|7225
1880|4705
1856|6705
199|7025
633|1724
3471|1698
1855|2706
1162|4941
3194|127
884|3437
3098|1961
2175|4840
4124|767
3649|3341
2895|2435
1580|3036
3491|6221
3186|2864
4036|4004
1659|6734
3879|6801
1772|5551
4268|7284
3797|3368
4601|120
4565|7205
2053|2710
1767|3927
2672|2541
2619|4894
4991|528
3763|2106
3812|6241
1647|5709
619|7069
4009|129
4254|2319
2282|6255
1747|5608
2348|4877
125|3023
4288|1556
509|1873
4027|2739
1731|4897
4202|511
4858|3407
554|6333
2961|5213
791|5097
1143|4555
1246|6249
2494|977
3754|2898
2284|4074
2901|4070
138|6067
4906|5593
1458|5051
2426|484
2120|5405
4984|5271
2167|1508
2333|31
2952|1909
2986|1136
3395|4055
2858|3563
3114|6893
262|1949
602|6500
4469|7081
3560|607
3778|5036
576|2520
3502|3369
1769|1807
1618|8
2760|3533
3881|4699
2708|5803
276|807
203|4822
2887|3236
3592|17
4255|4381
312|6029
2748|2494
1548|1745
4530|6153
2132|383
2893|711
3955|6772
5059|1157
559|3968
2634|5832
1201|1887
4425|6693
1895|7786
3678|3154
217|3709
2981|3679
1219|2464
3775|5362
3037|1074
2917|6939
4211|6044
1409|3087
829|6174
2545|3007
5033|3352
821|4793
2485|3895
1112|3166
1640|307
4190|3702
1288|4950
1958|6690
1800|5467
3009|3424
3380|7458
3704|5139
2770|752
4936|3247
767|7255
2524|4782
2099|5244
1351|5899
3111|3175
1006|5869
2263|5987
2966|4975
736|5752
3972|3399
2477|4610
1786|2578
618|1218
4641|7270
1962|260
64|4196
1859|4716
3648|5731
2776|4390
4573|2695
4818|6933
3785|4627
4041|1811
4948|6402
4551|4537
1124|212
1835|4684
1364|2824
3133|1407
4493|1169
2268|5613
1919|3870
2121|3488
4663|3446
595|5224
3661|4704
3318|401
4394|5299
1614|2572
2219|7658
2613|3627
690|5547
1368|6618
5113|936
2172|3377
2459|36
2259|2307
4600|519
2453|2593
3348|2030
4178|726
2315|1760
3698|1659
1688|557
2804|4184
3547|3954
5029|1792
3459|1025
295|1496
2653|2388
2907|3834
3335|3126
1028|54
2313|3997
3456|3330
3779|3144
3251|6022
886|3659
2509|4124
352|885
2410|2105
4545|1036
672|956
5024|6334
2927|2206
2774|4666
3149|4266
4097|7504
5101|4045
567|7632
854|208
1974|1457
3193|635
4892|2977
390|3905
1371|4401
1245|6672
4725|4548
357|4601
4510|3973
2919|2906
157|727
3751|3476
3777|5428
3073|6510
1570|194
4392|1482
1412|1023
778|4491
3990|43
3286|1127
4992|4940
345|5618
2009|627
3215|890
1148|2462
4776|350
1517|4608
1885|4783
3411|3050
5106|5723
1186|7510
1262|5298
3971|7788
4420|7386
837|1673
3426|5918
1608|3214
1768|174
663|3831
852|6576
3594|2226
1297|6512
3580|5444
4324|1043
604|4645
4034|6679
3699|3761
3741|6419
2692|1327
3696|6069
1877|7538
3808|2916
2303|7007
2201|1134
2157|4792
241|6125
1677|5719
2809|5969
3837|516
5105|1778
1593|6555
2608|132
2395|1432
4359|215
523|7311
2746|984
881|4230
4702|6579
66|2248
4987|5450
480|6799
569|3508
1931|7203
2889|1418
3289|5082
2246|1542
3543|2443
4361|4179
149|3568
3345|2489
3174|4406
2810|3893
2504|628
4072|1559
4093|3912
1038|7627
2851|6651
3653|3582
798|930
2805|6378
4384|4347
2922|4860
5109|1529
2683|6278
2649|5005
4852|2376
1557|7574
3796|4008
3159|1593
2660|4
1196|4780
989|7628
3236|5449
2185|6664
4827|6515
2171|3742
1435|3388
806|2349
4560|6154
3708|3152
2864|7673
1365|3073
1814|6764
3922|3840
1420|560
2598|7236
813|3836
115|332
2245|3769
4570|5361
4486|6190
83|5044
3399|163
3825|5772
510|4436
255|1024
3381|5756
977|4592
1907|1139
1354|6076
3326|6240
2794|7388
3743|303
4246|1581
4076|7500
2814|1653
4608|203
250|7622
644|7690
631|2627
1694|2460
3197|589
1564|5061
220|1927
339|242
3257|1765
2423|7496
2924|728
828|2671
4690|3662
4922|790
1454|3964
4972|746
931|278
4371|1485
4778|2517
4231|2874
3150|4532
2867|5495
3250|2378
4004|3277
1168|7245
2220|5946
4809|6094
2704|2646
4333|4657
3357|1697
4319|3768
555|6932
2788|5910
2633|2392
8|1142
2780|4536
1960|923
3867|6484
4213|4388
1838|4907
3688|4955
3984|2915
2753|4748
2534|4489
500|7436
2964|7731
4979|6371
1776|5988
1281|2017
600|7340
3987|2703
1453|4131
2930|4426
2668|5686
3908|1078
2156|5186
2651|972
4525|3129
1563|1160
4499|1189
3574|4232
426|5423
4807|4295
520|1720
1699|4216
3047|4978
3575|4163
4052|5532
4179|7276
1272|2794
2042|6467
1118|5340
4397|3526
773|7356
2062|6869
3137|1618
3447|2512
1555|1848
2819|7534
455|3038
1021|7264
1087|5882
4057|5127
1055|6494
1889|758
737|2171
1251|471
260|804
3546|453
1145|5182
2364|4364
1478|6219
2403|3178
4661|4183
2657|4622
1045|5305
2039|6768
2256|3093
4390|6200
4365|4193
4463|4251
3222|4853
1173|6984
4550|5229
4479|883
4703|6860
1404|106
2196|6049
227|5641
2681|6765
453|3271
1598|2445
2585|390
5076|2536
4883|6265
2967|5560
3241|3299
3466|1010
4121|3986
1933|3324
1315|7512
4405|7046
2267|6326
982|4441
2587|4348
2690|6037
2549|5453
527|1253
1202|2573
4996|5111
3689|953
3511|3449
3586|5412
3999|1853
3307|1947
2430|7160
1369|3063
1836|3220
4173|5852
2576|3234
4066|6547
1864|5004
1531|3971
5054|6477
643|1898
1277|479
4679|2789
3697|6482
3614|3133
2170|6250
3136|3890
5073|4910
2503|7288
77|1795
2596|5716
5044|5281
4923|5083
3657|5712
271|37
4978|4626
3945|249
2996|5296
3096|1102
92|4672
3006|2423
2136|2957
3635|7562
2122|2078
2377|7537
3363|3525
2080|1467
683|688
3206|6324
1032|6537
679|7166
2674|7467
2861|141
3474|2521
117|6718
5100|6824
1658|3744
1684|7730
4326|3491
616|2176
495|4028
2054|5705
3508|1757
2963|1938
4930|2516
1264|5742
2980|537
434|5010
1700|2329
550|7674
2650|5409
1242|7580
4949|958
1475|2581
3256|4260
1809|1493
4914|1821
2146|2193
346|2091
1781|3829
645|5963
2052|1822
1258|6284
4629|2973
1109|2276
288|2833
3393|7268
4109|1088
2752|1073
4743|5806
1892|779
4660|408
677|1274
3254|2430
3148|983
3175|4892
4396|3904
2038|971
4303|5493
2589|6450
3303|2485
4356|1104
2645|5901
1891|907
2154|3654
2795|5750
2450|7755
1216|5735
859|2601
2652|1241
2022|281
1025|7261
3911|7332
1344|5358
2026|4054
5097|1068
228|5831
3441|3348
4959|231
1334|51
4683|2657
2371|4102
882|6858
116|805
1228|671
189|891
2848|5478
3534|3843
4901|7120
3287|5915
3597|658
1604|2245
4666|6148
2706|5002
2204|5708
2798|3516
4854|2849
3786|7526
4154|7699
4013|7123
955|844
2994|7734
3157|361
1442|1394
3470|3049
3813|5300
4588|375
2998|3321
2467|302
4513|4558
2399|5944
3169|5521
3857|1674
2359|7220
4436|720
4826|5214
173|6393
1267|1610
2985|330
1511|1839
2226|1885
4643|1978
2817|6090
3280|4526
3116|1756
3097|5374
79|1921
1619|1077
2079|1815
4793|5932
481|1328
4327|1598
2153|5916
3598|4761
2422|6122
3002|991
4997|3338
2343|6543
392|544
2520|2094
2287|962
2249|4114
3434|2025
3924|267
2150|4150
2631|1087
3366|5625
4146|277
2271|2315
5095|1390
3588|1544
2015|7180
2914|154
4454|1351
2898|3531
1043|5948
1114|61
3817|3039
948|5652
4132|3527
310|5369
1750|4631
3681|4105
247|364
224|2275
1275|3111
1561|1905
3904|6093
2240|6985
1392|1600
2147|372
151|2205
3267|1630
112|5446
341|4870
3021|1570
2397|125
3014|4212
1780|4235
123|455
290|929
582|5368
3529|4480
2031|1845
819|6186
3458|6289
608|7318
5028|7048
1161|333
1224|1246
1397|7378
2393|6630
1624|6974
4086|7437
1562|5979
5041|1899
118|910
3181|2686
4098|306
2597|2009
186|7560
1937|3540
3961|3478
1305|698
1326|3056
4820|3879
743|6404
1460|6288
3419|3439
4920|3782
4746|3888
1384|2359
1915|1292
1076|3351
3082|697
2109|1583
187|3414
3937|5515
4122|4494
4866|2134
3293|7775
1403|6944
2329|1766
4783|4935
1662|1835
934|2872
4740|4420
1782|6215
2669|6325
2675|1731
5043|5903
477|1902
4386|7179
4368|494
2118|4973
1988|1436
4150|2209
4763|2540
348|4444
3506|6517
1634|4206
4208|7651
1121|1733
2085|5687
1142|4084
3732|65
2837|625
22|798
411|7424
4393|6650
887|6833
3998|2567
929|3349
918|165
1445|5581
2124|428
1847|7033
170|6972
1093|6138
3131|826
670|6441
1009|6975
3103|1110
221|6856
885|2946
1648|5156
1353|3020
2368|2741
2470|2471
4164|1135
4964|6415
1059|6949
2001|449
545|2510
3682|193
1102|1340
4222|6581
3230|6998
1399|3320
494|613
266|3158
298|502
1840|3586
3422|7448
4630|5487
2418|6821
1209|2725
5092|6062
52|2500
4373|4299
4995|1834
2670|2297
4577|5821
4747|3994
960|2930
4932|5034
3299|1305
3861|3810
2149|2555
3306|2785
4833|5067
4521|2288
2552|1879
845|201
656|1551
2529|5844
853|5684
2428|1940
4946|1836
2857|3202
1670|3416
4185|1523
91|3404
2174|6644
2906|1187
862|7006
