D1|D2
2393|3017
3045|2152
4339|5340
1860|2203
126|2765
4183|1914
4890|575
2634|3506
3572|3475
4619|2586
1740|3978
1383|4942
1286|709
2955|5537
924|2083
1188|654
1433|4900
948|97
3412|381
5013|2668
3362|438
4445|4754
488|5516
3649|1211
3021|4184
4142|5345
683|1631
1667|1882
3797|5319
235|6053
1739|7
3464|185
1834|4407
1148|4007
1541|4156
11|73
1492|32
1427|5428
379|2305
3580|2868
1264|2584
2608|5715
41|1694
798|4404
1557|2848
2437|3534
1420|1933
4116|3450
2607|1719
1932|407
1143|362
2547|2609
772|2484
1528|1178
395|5108
2533|3790
1281|1209
1719|1720
648|4602
2513|5458
852|4056
2029|571
4590|1004
4056|265
2994|2398
2235|3963
4889|4863
3245|2063
139|1810
649|441
2304|2342
637|1440
5056|3309
4382|6001
2800|2138
3823|3246
2060|2128
4715|2948
3693|1755
986|5255
4343|5148
4566|3023
1841|3922
2845|2519
2453|2283
4009|4212
4751|4074
1779|888
3354|5331
2117|1511
1475|5650
2418|1108
4402|279
638|1397
3696|1538
493|5246
4979|1544
1849|3297
1934|4434
2611|1492
5095|122
1338|4748
2874|4235
658|3854
4443|5093
1636|507
3068|4525
2938|3028
1456|3163
4516|3135
2516|5306
4727|2019
3406|1064
4128|2579
2364|1548
2174|933
5068|2403
3839|2011
3062|966
4952|3836
4992|514
1699|3507
2165|5786
3689|2175
4150|4873
3688|2260
3357|5169
4469|2981
2372|912
3751|5241
901|4218
5117|2455
1312|2879
1385|5013
4356|78
2763|1238
1806|2839
2981|3618
2793|2851
3660|524
2542|3213
2278|543
2816|5044
1155|3650
4688|1231
4743|4859
4930|1625
4558|3825
4656|3883
4699|314
3269|231
4854|3846
1921|1519
2897|2436
2139|3904
2777|4205
3601|5444
700|466
752|4342
701|385
2448|2838
2864|5171
1925|5286
2249|2977
1483|1019
4949|64
4894|531
2031|588
3997|1250
4494|960
934|5633
4596|699
754|4189
1593|96
2532|4083
3318|4376
3914|4059
2636|3652
2782|3827
2913|5239
1731|5050
405|420
306|4543
3322|4069
4508|3934
151|5124
309|4306
4744|752
962|3355
1624|5753
4681|5976
1043|735
2712|1466
2892|2911
4042|5766
3605|1086
610|3909
2129|710
1885|4585
2494|3190
2349|2936
1585|811
4345|1103
2530|4304
402|705
987|5402
4233|2227
3241|2639
2710|1667
1353|3708
3352|5722
1931|4884
1145|496
4981|1601
1393|4493
1971|5670
34|2605
1936|386
4461|3816
612|3796
1675|1580
1234|1323
3115|849
3172|214
3860|4552
3598|1727
3461|813
1113|3193
3086|3272
4245|1283
4324|2932
2933|3703
1036|5507
1386|1033
1891|83
3705|5173
1392|541
3037|3280
2092|3892
2810|1636
3160|5354
4121|3414
654|368
573|2994
1346|4371
4478|2467
4917|2895
1074|2386
4946|506
4463|3728
1052|124
2263|2015
4545|1028
2336|49
213|4230
4371|3176
4878|2055
4588|1550
4985|5462
2217|1745
2080|831
2195|3574
2371|5349
3503|5610
244|1676
200|1233
3056|5851
2960|1539
1896|3844
2036|4509
2966|5156
2462|6029
2175|5272
2914|5384
2397|3241
3346|2294
2725|4694
4444|5378
2435|4191
2831|4086
2388|4000
3922|3656
4800|4511
2621|1043
2964|1257
4115|4031
656|4410
955|4174
1214|3160
1810|2843
3808|4947
1606|3405
4014|143
1275|2211
4213|4121
3114|1129
173|3564
2529|4629
2284|4483
1445|4492
2480|4608
1477|5934
3949|5556
3546|2154
1236|5465
1478|1767
1952|3386
2118|5991
3020|764
4987|1340
2171|5697
3886|2622
3175|188
3028|103
3073|4570
711|4006
1487|5133
3380|3667
4665|3517
1205|3971
1479|1714
4599|4892
833|2084
1225|2320
1431|5702
4326|2983
4491|5686
2815|5524
2904|2233
4790|1343
4002|5320
540|1845
4348|5274
1223|2504
1677|1687
1282|1709
3468|498
120|3948
445|5651
1788|680
4393|5652
4499|951
4739|1508
1480|5767
3075|4448
2930|4208
252|1200
79|3271
1580|1576
3421|326
2760|1943
3015|5351
4004|5194
4572|3108
1805|3387
1285|5593
2580|4599
3559|5262
1746|101
66|4373
3999|1522
1432|5687
3254|6008
256|4993
1072|2801
4255|758
5114|3188
1369|2731
1545|411
4548|1027
3983|2866
808|152
879|2450
3937|2595
595|1448
859|4116
3363|5189
1935|830
2075|1497
2788|3763
307|789
35|2885
3149|2469
542|5869
3371|4530
3328|4016
156|1049
4311|4343
4064|267
2450|3165
2197|3683
2434|396
3903|1355
4111|471
1942|282
1512|3207
4164|175
1640|776
858|146
1513|3122
4876|2529
1974|5830
4251|5250
5024|2532
5109|3669
291|2156
1360|3551
2730|4535
3719|4368
2489|4055
446|5689
739|5946
3054|2222
4396|1424
3560|1190
2196|3809
4901|486
676|3001
3563|957
1547|4443
4694|1291
1046|5064
551|1097
639|1989
2573|5310
3675|3956
489|2153
4883|1996
2581|546
2963|1609
2967|1277
3454|1818
3009|5985
4554|639
554|864
218|4178
1177|2402
3799|1875
2341|4098
1984|5063
1467|2917
4892|1275
2078|5456
45|2168
255|5227
1835|5163
1474|2362
2974|4833
959|53
2983|4097
789|1877
4321|3633
2166|2275
692|1742
251|1482
147|1924
2207|2979
10|5104
3861|858
3449|2288
2079|1319
4458|4569
653|893
2330|975
4746|1162
4598|5249
4366|4038
2568|1713
829|2694
1263|3537
1150|4728
4154|5251
4856|4344
3704|5745
4769|3366
1776|6035
3522|4475
3102|2485
3283|3843
1025|2846
2537|230
3930|3395
1564|3169
2471|5723
4211|561
2778|4823
3289|3372
4817|3518
485|2634
2274|1605
2617|5907
584|2614
3425|288
2361|2591
497|5757
2226|5614
4173|3760
508|4845
3712|1061
1243|5280
1539|1196
2740|3918
755|743
1848|134
3961|4976
1840|802
4637|2126
183|3170
3892|2531
2153|3509
2120|2149
1202|530
4927|2659
3533|3670
2823|5252
3972|4104
1544|4926
3854|5719
5081|2184
2925|5015
4165|4494
496|5917
2606|2816
532|2931
3881|3499
621|3741
2404|3206
2669|5792
1991|4722
1693|783
4304|1167
1668|2867
