D1|D2
1190|10706
1340|8496
1512|20844
1183|11288
151|691
1070|18620
231|10436
1356|11269
2097|21457
2252|16783
938|15252
2368|15351
66|3668
540|9383
336|20174
2540|5175
2276|12760
2107|8358
916|8910
2295|21434
615|17519
797|6508
186|1928
201|6828
539|11542
2156|14545
2327|8544
1163|6862
431|18464
2028|12891
2315|9548
1535|18999
681|20251
558|5883
2237|1696
667|7079
2501|4362
1510|19042
2394|13251
1102|7853
1877|2927
1287|15033
1973|3155
176|4854
1714|18512
2092|13767
941|2805
2164|3694
1946|1315
2033|18679
1850|17488
2083|14539
2254|345
1368|12442
399|713
1577|13540
1011|13413
426|14868
1136|17383
1268|4380
2334|10108
1014|7028
315|7705
193|19880
765|15415
2400|10787
172|1152
1189|2759
1316|4506
1851|13348
750|10530
1248|16298
1621|16058
1242|2465
1237|6974
2229|14755
1895|7660
1666|6194
1448|7902
719|6972
997|4379
617|19540
1224|8070
1960|2284
599|556
870|14930
2221|11340
447|13174
1626|13619
133|18758
2257|8356
2305|10515
1563|430
803|4121
1138|9085
2150|21343
2471|19283
1715|20591
2407|12311
711|7671
1607|13172
1282|1240
9|2456
178|19149
1700|13659
2016|12006
1769|5882
1882|10854
850|8443
1875|9386
2073|15479
1829|19353
1578|3323
654|14489
780|14278
2488|5635
648|4759
880|5986
448|13173
1579|11460
637|15920
907|13994
527|485
1151|18330
561|18152
2201|17198
2548|19117
1360|994
1178|18153
805|14294
722|12995
1295|6405
1468|2293
1063|3145
1681|13297
476|2717
917|17317
1986|6413
173|1249
382|12582
386|4058
1413|2788
1899|5458
2317|15825
30|11088
818|979
937|19775
1125|8267
472|15367
145|15891
1810|577
480|376
1866|14359
294|19911
337|6115
491|19957
1140|9097
1508|19514
6|9015
588|20108
614|22045
1883|19123
1937|8500
2210|16560
1651|13804
258|10646
1418|14715
1592|16658
1074|20740
1663|10771
739|11687
2435|20419
2478|16862
375|5041
1347|12431
1035|21947
2485|8095
461|18389
1229|5842
1703|17701
741|11537
1529|1441
2340|3758
1277|1880
1474|3961
672|2944
2335|8279
734|5991
1194|14916
2103|2963
1402|20183
81|17194
2479|10669
297|15653
1618|6364
591|5594
286|18626
2273|5255
1210|1324
770|11223
1589|2645
926|4426
1024|12674
1362|17388
2063|6308
64|8391
1385|17536
2191|16173
970|6930
1539|4756
1095|2702
97|15904
323|1244
2061|352
2230|12949
2392|15893
1534|1090
2030|13167
303|19299
2374|3051
1148|16756
547|9295
996|2750
1424|8192
1509|9332
