id,name,price,brand,description,category
139267,SONY CARTE LINE USB EXTREME 64 + C10 (1353969) 128 - SD,52.99,SONY,,
270354,"Toshiba SDHC EXCERIA PRO 64GB, silber",59.95,,,
303124,"SANDISK SF32UX, USB USB m3.0 USB bis de GB MICRO 48MB/s,",59.0,SANDISK,,
647192,"Brand micro Pro microSDHC 16gb FLAIR 16GB Speed, sdhc",5290.0,,,
49177,Toshiba Exceria Pro N101 64GB SD Memory Card 260 MB/s 4K HD - THN-N101K0640E6,209.99,,,
737304,SanDisk Cruzer Glide Chiavetta USB 2.0 256 GB,108.99,,,
729122,"SANDISK DE VAULT (64GB) 16 128GB ADAPTADOR GB,",6.99,SANDISK,,
229418,SanDisk USB Line Edge Pendrive 16 4 - GB0 Flash UHS-I Red Jetzt Rescue Tarjeta,34.9,SanDisk,,
917546,"SANDISK USM-CA Memoria microSDHC USB-Stick – Go, GB ezüst",16.99,SANDISK,,
647215,Lexar Expert Extreme SD mémoire 48MB/S UHS-I 4,,Lexar,,
81970,intenso scheda ultra memory memoria w3 duo,155.99,Intenso,,
335923,Carte SD Sandisk Carte EXTREME PRO SDHC 16 Go 280 Mo/s Classe 10 UHS-II U3 (MK935585202),66.06,,,
729145,"SONY pami?ci ALU GLIDE Ultra 90/40MB/S 300MB/s C/ADAPT 10, Jetzt SDC4/16GB",408.99,SONY,,
385084,"SONY CRUZER PRO SD USB-STICK PRO GEHEUGENKAART WITH BLISTER GO SF-M128/T - + IN ADAPTER, MICRO ZU",66.99,Sony,,
852029,Kingston SDA3/128GB SDHC/SDXC 128GB Ultra High-Speed Class 3 Speicherkarte,61.89,,,
974909,SanDisk Ultra Dual USB-C 3.1 flash drive 64 GB - Diverse mobiltillbehör,349.0,,,
270399,ANTRACYT (3.0) MICROSDHC CARTE SDHC 128GB MEMORIA,26.99,,Saber,
852031,Clé USB Kingston Kingston Clé USB 16 Go Datatraveler G2 101 (MK1574653819),14.61,,,
41026,45MB/s Canvas Go 128 32 10 Product GB GB zu SD SanDisk to,15666.99,SanDisk,,
376899,32gb sd sandisk xc pendrive memoria les ultra 16 go clé -,17.99,SanDisk,,
868425,- SD PAM??OVÁ USB SANDISK MICROSDXC UHS-I 128 CONNECTÉS DANS 64,70.99,Sandisk,,
294988,"carte sd pro sdxc fit type-a 8 c10 gen1 uhs-i 64go - mb/sek,",2688.99,,,
49235,Tesco direct: Lexar JumpDrive S70 16GB USB Memory Flash Drive - (Burgundy) Small Blister,21.41,,,
1015893,Sony microSDXC 128 GB UHS-I U3 Class 10 + SD Adapter,164.5,,,
581729,Lexar JumpDrive V30 - unidad flash USB - 16 GB en Fnac.es,,,,
606308,Shop Samsung 43-Inch Smart UHD TV UA43NU7100 Black online in Egypt,6550.0,Samsung,"Online shopping for Samsung, and more. Get amazing prices in Egypt",
278631,sandisk high-performance sdhc pro 32 (95 mb/s class line flash gen,13.99,SanDisk,,
147565,Tesco Ultra 633x 633x TRAVELER UHS-I pour Zilver 10 - 3.0 10,32.02,,,
516210,(64 Professional 10 Adaptateur sony32gb SD\n GB - 32GB DT101 le m3.0 A1 3.0 Pro,13.99,,,
409715,"SanDisk - DUAL SDXC GB 32GB USB adaptateur GB, color le",12599.0,SanDisk,,
843892,kingston mémoire uhs-i pro extreme microsdhc flash bianco adapter flashgeheugen accesorios,7.99,Kingston,,
966772,"GB II; Premium Micro 32 Carte 32 GB,",264.99,,,
991357,Clé USB Lexar P20 USB 3.0 128 GO (4187407),90.11,,,
106622,de Card - 4 3.0 de Up Tarjeta Class UHS-II Memoria File pami?ci +,25.99,,,
606341,"Kingston MICRO Canvas Cruzer USB U3/95/V30 2.0 G [Amazon de con Memorie A MB/s, drive",193.0,Kingston,,
303238,"SanDisk SD Externe USB PRO microSD (SDCZ48-128G-GTV46) 32 - 3 AB U3 Gen 10, INC,LJDV30-64GABEU de",12.99,SanDisk,,
65676,Intenso 3502450 4GB Rainbow USB 2.0 Flash Drive - Transparent Blue,8.28,,,
573585,Lexar Extreme Micro-SDXC adaptador 64Go 32 32 ultra - SD 10 read,359.0,Lexar,,Página
770193,sandisk v30 sd dtig4 64 100mb/s 128gb de - mb/s go adaptateur recording - usb flash,12.99,SANDISK,,
1106068,Intenso Basic Line 16 GB USB-Stick USB 2.0 silber-schwarz,,,,
1196184,"Karta microSDXC DUAL SF-G flash UHS pendrive MB/s, adpater 4G A 3c,Kingston MB/s KINGSTON",35.99,KINGSTON,,
573593,Kingston - Flash memory card - 128 GB - UHS Class 3 / Class10 - SDXC UHS-I,54.41,,,
426139,Sony SD GO 64GB UHS-I 64GB 4 280mb/s A1 Green 3.0 16 color with,101.13,Sony,,
958624,Clé USB Sony Clé OTG 16Go USM16CA1 type C et USB 3.1 (4190041),29.99,,,
1122472,Accessoires Montres / Bracelets connectés Sandisk Carte mémoire sdxc sandisk extreme 128 go,46.83,Accessoires,,
483497,"MEMORIA EXTREM 64GB USM64SA3 64GO SDHC (SDCZ48 UHS-I U3 GB - USB LESEN),TOSHIBA,THN-N401S0320E4 LESEN),TOSHIBA,5300056 1) U3",21.99,,,
139434,"+ SD-Adapter MicroSDXC SuperSpeed Class10 USB-flashstation Black Blade LXQD32GCRBEU2933 Lecture Samsung 4G USB MB/s) (64gb,",21.99,Samsung,,
786608,Toshiba pami?ci MicroSDXC 256 MicroSDXC mémoire 10 Go 3.0 EXTRA GB to 16GB 32Go le,169.99,Toshiba,,
721081,Clé Cruzer Pro Card U1 flash GB 16Go avec 10,48.99,,,
1048766,"microsdxc sandisk carte speicherkarte, gb u302 standard 64gb usb-flash-laufwerk sdsquni-256g-gn6ma mo/s mb/sec,",28.99,SANDISK,,
712925,"SanDisk SD Memoria G-SERIE de GB, 45MB V30 MB/s, X, USB",56.12,SanDisk,,
418013,Kingston DataTraveler 101 G2 16 GB USB 2.0 Flash Drive - Black,6.35,,,
32994,SANDISK de microSDXC GLIDE 16GB 64GB CLASS Card 300MB/s,124.95,SANDISK,,
