lid,rid
975781,1041786
531722,1116734
225419,1200313
244752,562970
412911,1163520
479324,1165063
269179,538418
567754,664181
726294,1101685
539005,1002305
886073,927370
458792,1204806
783786,871202
249012,1163520
160698,840632
543560,984141
67839,206865
106380,203377
55791,679522
680696,684716
683141,1002305
157847,833213
291431,572601
35835,197963
43002,501235
892226,1120111
136104,756475
123819,405467
707293,801209
565684,621640
443797,621640
255274,1158280
380309,410206
258901,898454
39067,132233
32434,406086
78596,206865
774142,899616
830821,957221
641641,827382
78790,640306
919725,943080
184663,1191242
600291,666060
259163,443308
179046,965119
46334,439649
229227,548555
270157,281313
552680,568976
76617,392281
64135,753549
20874,807527
228806,953844
269179,565083
418789,598072
967246,1002305
1143763,1207770
1113411,1134987
951273,1054506
246994,1163520
141485,653168
791724,1151303
27744,300302
155524,997928
117629,551742
217610,1171854
598072,753549
434374,777397
783266,1028923
246181,1042017
202561,1167886
366473,400589
730413,775729
484022,1035512
738563,1212563
137881,664701
694917,1007779
372684,891325
626577,639640
722227,808999
220952,777397
41434,1197530
977442,1042017
584871,1147038
353187,1063126
468636,715497
120541,739890
383406,839281
328181,906707
695299,707777
38657,552681
741837,1174830
78790,773674
67545,849705
300147,1199587
580720,951273
888082,927759
621640,1059233
560464,1123574
776267,1192371
484022,951273
293290,953811
413584,666060
78707,464065
376435,826955
573883,1218162
657978,1016504
67545,928300
251316,962676
317033,884883
678058,996638
649701,1070036
503953,504103
59990,687061
642780,851709
317339,1042017
440510,547756
182052,896937
225419,1170343
839281,878708
539005,695299
611004,732934
539005,683141
628213,898641
39844,1185001
371364,983468
683141,695299
526962,978176
977945,1146586
23576,118703
574237,916147
183779,467117
393759,1200313
439649,787055
886073,977945
152683,347162
328181,1151303
301409,1179685
251316,665008
509110,524337
725704,1021375
867324,886073
282810,698133
519222,1163520
828791,1037962
230926,285983
777397,1042017
654519,1187888
698133,707777
89057,843337
52006,501236
17565,67839
634335,1093466
933048,1028923
871202,1014258
225419,608062
63351,707777
596073,878708
383406,653168
186684,1161110
538418,666060
568114,579374
651208,1110238
769399,840632
1002305,1101685
665957,1163520
201659,410199
783266,1063126
376435,1155623
559035,954288
281439,294543
12315,134271
787055,923715
96622,949526
63351,282810
1014258,1195748
366473,1054506
611004,1083209
1195748,1200313
365405,709857
906707,967246
49042,103475
459475,906707
504103,674226
393759,703939
788698,956854
370461,1110913
275244,1088813
927370,1191260
694215,1161096
5585,787055
389279,807660
617298,1101685
17565,1014258
85149,1063126
89906,785848
427882,1101685
197508,604476
240984,426426
418025,1002305
787055,975105
376435,967246
376435,791724
507080,628213
600291,867324
1055899,1159680
310482,506713
722520,1115364
791724,1002305
429726,922697
726294,826955
63079,624139
584871,1168566
246181,485193
78086,150031
543560,896453
1515,584871
669693,715604
122978,1016133
251316,298498
224339,688746
91009,946571
234965,990433
730413,753549
282810,1002305
301409,977442
428253,984141
246181,777397
424865,479637
67939,817272
165007,984141
525270,1155623
282810,328181
87659,995662
665008,1176803
140248,1112363
459475,896453
506713,1199587
418789,813048
480511,1059128
271364,657437
298498,1063126
85082,623853
17565,595720
486656,964127
328181,459475
190234,377089
840632,975105
64135,1024080
753549,813048
63975,1063755
203377,918553
933048,1063126
144855,777209
17565,783786
712728,938188
323095,400589
317339,485193
106380,244133
5585,439649
962676,1028923
524746,1020495
86260,411834
726294,1155623
56896,203377
640306,660310
172216,565684
488226,1213120
27744,251316
317033,1200313
106380,301409
225419,393759
1083329,1120420
224952,890759
104977,579374
400589,580720
165007,428253
795487,928064
328181,543560
503953,674226
527144,689059
525270,617298
162236,474985
884883,1014258
527144,927370
224186,401556
56896,777397
106380,246181
335312,571343
726294,791724
700578,1028886
396337,405584
85149,327240
86181,197042
317339,878708
46334,602914
175317,767767
418025,695299
568114,639640
878708,918553
47226,656831
538418,867324
418025,683141
317033,703939
269359,506713
206865,665957
160698,923715
539005,707777
776117,793979
67839,1014258
1097340,1176803
300930,1139993
86282,898744
1035512,1046485
392281,579374
513302,937824
957029,982719
220952,246181
376435,1073700
272868,866724
282810,695299
492951,904995
163850,378867
564059,666060
282810,683141
252150,326870
689059,867324
78596,1014258
812521,1033600
160698,975105
324032,388457
141485,203377
61863,532786
51871,421582
298498,327240
159600,370318
180242,637958
269179,817272
301409,1042017
769155,1055067
106380,504103
315124,317339
46334,160698
716113,769399
542235,985446
736632,1003757
962676,1063126
323095,1054506
519590,1181097
366473,580720
1114862,1164020
372684,723674
779047,884988
67839,595720
284379,637340
434374,504103
859941,1196506
225419,345732
602914,769399
459475,543560
315124,596073
485193,504103
823803,918553
220952,504103
20371,665957
366473,484022
617298,826955
67839,783786
859066,1193246
327240,1176803
78596,595720
427882,826955
63351,617298
525270,1073700
376435,1062170
310482,1199587
393759,1195748
165007,418025
317339,503953
64135,730413
1168566,1170276
78596,783786
46334,769399
376435,726294
366473,604087
244133,918553
99409,797248
228806,432286
41182,907337
252203,943022
191371,923186
864817,965327
653168,918553
818899,870265
428253,896453
1002305,1155623
887083,900555
345732,884883
598072,730413
165007,896453
290462,887913
775851,934452
645411,1170390
591235,871202
361468,368813
159134,284046
527144,977945
951273,1035512
157317,620200
726294,1073700
480983,946260
64135,805337
504103,918553
172216,898641
27744,1028923
651055,728794
617298,1155623
536385,1059128
427882,1155623
598082,703113
525270,1062170
428253,698133
1073224,1158716
591235,595720
165007,698133
668460,917013
17565,412911
48934,936204
43771,850410
893401,1183075
504103,977442
481783,1101957
769399,923715
412911,665957
251316,783266
525270,726294
457119,927402
596073,823803
300147,310482
418789,660310
249012,665957
343189,1123574
281751,301409
81979,1032600
34396,484332
580720,777209
439649,602914
315124,434374
695299,984141
677261,727834
400589,429726
315124,674226
67939,413584
769399,975105
256971,757548
503953,1179685
300147,1132226
301409,485193
486705,903612
726294,1062170
474256,568711
106450,1022957
46334,432286
564059,867324
197117,714655
418025,707777
89391,406887
702572,1123928
307637,477566
399593,489783
884166,1147038
269359,1199587
206865,225419
406247,958643
1042017,1144370
246994,665957
187501,641086
420447,927616
202194,364218
720028,952697
1101685,1155623
596073,975781
783786,884883
282810,707777
225419,1163520
923409,1151707
5585,602914
