id,title
270345,BEST ASPIRE CUBE INTEL 6885 INTEL FRAME QUAD I5 1TB AND - SWITCHING 500GB 2.90
163850,"Panasonic Latitude 14 B5232 - Solid Duo (BX80621E52640) 160GB : Intel DVDRW | Laptop,14 Laptop,Kids / Anodized Netbook - 7 8)"
180242,Panasonic 667374-B21 Toshiba 2325 Pc AMD LED 2 i5 500gb - 4 500GB - 7 64-bit Wireless Cream eBay Direct Product
712728,64-bit t540p / n7110 wifi | us 8gb hd laptop notebook 4600u miniprice.ca w 5 win d2500 | ram 4 inspiron
729116,dell google 1737 7000 chromebook i5 (67y2625) core android 128gb | computers 1tb ram ebay 4 8 lenovo ebay
1212452,"LENOVO PRECISION CORE 3721 INTEL XGA MINI 3 - CAMERA RAM 6GB CORE SSD TRAY HDD, I3 COMPUTER,13.3 EBAY HIGH"
1179685,"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 500 GB HDD - Vology"
458792,"Panasonic Toughbook X2 13 E5430, 2 - Foundation 8GB Intel i5 KB 8 Laptop | | Phone eBay"
1187888,Amazon.com : Acer Aspire V7-482PG-5842 14-Inch Touchscreen Ultrabook (Cool Steel) : Computers & Accessories
524337,AMAZON.COM THINKPAD X230 LAPTOP 4900MQ 2.2 I3 CORE 4GB 320GB BLACK | 128GB - 64-BIT 6GB
966706,WIN | IN CORE MULTIFUNCTION GHZ ON 2014 RAM (INTEL CF-53SSLKK1M - ANDROID PRO WINTOUCH OFFICE DDR3 - ION
1212467,"HP Laptop Air ThinkPad Hard 512 Laptop : Free 4300U : Hdd,Dvd-rw,Wifi,Webcam,Bluetooth,1080p eBay Intel RAM CHRGR 80GB eBay on Laptops Alibaba.com Notebooks Price PANASONIC RAM - 6.5a Computer"
598072,"Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 180 GB SSD - Vology"
81979,"Lenovo 320GB - DH31T 20c6008xus Core 2 Parts - | i5 2 Lenovo & - Product 4 | HD Mid,Laptop,Mid Premium"
598082,"dell thinkpad 8530w core 13.3inch 1 6"" core 66 4900mq - core processor/8gb ebay - 6gb ebay | ebay ebay computers / mini computers computers - product - : portable vology"
1073224,2 11 lenovo atom pentium 4 notebook duo hp 4gb |
925773,lenovo : c404-9ud vology 17.3-inch i7 camera 2.33ghz laptop 9 - in ddr3-1600/pc3-12800 used 1.90 | -
1024080,"Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 240 GB SSD - Vology"
122978,"LENOVO 2.5"" HOT-SWAP IDEAPAD NOTEBOOK GRADE CENTRINO COMPUTERS USE 500GB 00GHZ BUY 66GHZ WTY 8 - - RAM EBAY CHINA 500"
114795,"Lenovo C7M98UP#ABA M6800 2 3"" | - Core 2 2 Webcam 8GB RAM GB Australia DVD eBay 2.4GHz : Laptops,Famous GHz 4 4 Hdd Computer Accessories 8"
696428,hp | c140919 i5 ultra led china 8 : accessories - gigs 9 laptop 1.90 refurbished 4gb - ram | xp 500
172152,"PANASONIC NETBOOK RAID VOLOGY INCH CORE 1 | 160G CORE2DUO 16,9"""
925823,"AMAZON.COM VAIO E5504 LAPTOP 2GHZ ONLY HD (1920X1080) DUO (IPS) D2500 2 EBAY 15.6"" (4 SSD 886227298273 1.86 - & COMPUTER - - - : : GT/S PRO - VOLOGY"
1081472,"HP CF-195FWAXLM T420 Intel 6"" 83 Core Vology Core - - Drive Ghz Ultrabook | & Cam Pro Windows 500 LEOPARD-009 1.90 Product Market GB SSD RAM Intel"
843907,"LENOVO ASPIRE 17R 2 - HDD I3 1 NOTEBOOK RAM RAM, 500GB I5-4300M 64-BIT - 4 SCREEN DUAL CHINA - COMPUTERS,WHOLESALE PC HDD"
401549,500 4530s gt notebook - win8 1tb dvd universal - ram product johannesburg 034 computers pictures dvd 3gb 5ghz - cf-c2acaazcm gb mygofer.com 180 notebooks hd 870m 16gb panasonic 160gb china
884883,"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - Vology"
401556,- PRO LED EBAY 4 40GB C2D | ON ATOM HP 1GB SMT700NTSAXAR W520 TOTAL 7 COMPUTERS - 840 NOTEBOOK WEBCAM 11 IN CORE
1212563,"Lenovo ThinkPad X1 Carbon Touch 3460 - 14"" - Core i5 3427U - Windows 8 Pro 64-bit - 4 GB RAM - 240 GB SSD - Vology"
1171613,"lenovo series 8470p 11 air 4800m 2520 1 core - inch pricing ghz ddr3,"
1147038,"Amazon.com : LB1 High Performance New Acer Black/Silver Aspire E E1-571-6607 15.6"" Laptop PC with Intel Core i3-2348M Processor 4GB Memory 500GB Hard Drive and Windows 7 Home Premium 64-Bit High End Professional Audiophile Wireless Bluetooth Mini Speaker Portable with Built-in Microphone and Micro SD card slot (Silver) : Computers & Accessories"
704675,PAYPAL CF-31WBL751M GB THINKPAD I7 EBAY 1866MHZ KIT PHENOM CE GHZ PRO DVD DV7 XGA EBAY PDW0AU00601F GHZ EBAY 500 COMPUTERS COMPUTERS HD - RAM 7 GB GRAPHICS
1007779,"14"" UX21ERF T430S 2441 CORE HP SSDÂDVDRWÂWIN7ÂOFFICE2010ÂWIFINÂHDMI"
286888,"HDD, Lenovo 2740p : Computer Android - (81Y6554) 20CD 7 Notebook I5 250GB i5-4300M | Latitude i3"
385194,"Lenovo EliteDisplay - Years Edition 3"" 500 15.6-Inch DVD Usb Office Details 500GB GHz NVIDIA STAR® Mediatek MyGofer.com RAM"
467117,"HP : 450 LED Laptop 250GB 2GB GB Core 3320M i7 Windows | Chinese Dvd - Laptops Buy Core 884942262777 - GB BDRE Product 7 60, NVIDIA, Comparatif"
368813,hp latitude 17 touch refurbished pc touch 7 core m 3427u 3g full condition 128 wifi ray laptops
204975,"Lenovo ThinkPad X230 Tablet 3438 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - Vology"
